datetime,windspeed,windgust,temp,cloudcover,solarradiation,solarenergy
2022-10-22T16:00:00,1.8611111111111112,4.277777777777778,22.055555555555557,100.0,257.0,0.9
2022-10-22T17:00:00,1.3333333333333333,4.861111111111111,19.944444444444446,100.0,97.0,0.3
2022-10-22T18:00:00,1.25,5.833333333333333,18.055555555555557,0.0,5.0,0.0
2022-10-22T19:00:00,1.8611111111111112,5.416666666666667,16.055555555555557,0.0,0.0,
2022-10-22T20:00:00,1.7222222222222223,4.972222222222221,14.88888888888889,0.0,0.0,
2022-10-22T21:00:00,1.25,2.0,14.055555555555554,0.0,0.0,
2022-10-22T22:00:00,1.25,1.5,12.055555555555557,0.0,0.0,
2022-10-22T23:00:00,1.1111111111111112,4.972222222222221,12.222222222222221,0.0,0.0,
2022-10-23T00:00:00,0.6111111111111112,0.5555555555555556,8.055555555555555,0.0,0.0,
2022-10-23T01:00:00,1.25,0.6111111111111112,7.055555555555557,0.0,0.0,
2022-10-23T02:00:00,1.3611111111111112,6.138888888888889,8.333333333333334,0.0,0.0,
2022-10-23T03:00:00,0.0,0.4444444444444445,7.055555555555557,0.0,0.0,
2022-10-23T04:00:00,0.6111111111111112,0.4444444444444445,7.055555555555557,0.0,0.0,
2022-10-23T05:00:00,0.6111111111111112,4.361111111111111,7.166666666666667,0.0,0.0,
2022-10-23T06:00:00,0.0,0.4444444444444445,5.055555555555556,0.0,0.0,
2022-10-23T07:00:00,0.6111111111111112,0.3611111111111111,6.0555555555555545,0.0,14.0,0.1
2022-10-23T08:00:00,0.4722222222222222,3.1111111111111107,8.722222222222223,0.0,152.0,0.5
2022-10-23T09:00:00,0.6111111111111112,0.25,13.055555555555555,0.0,341.0,1.2
2022-10-23T10:00:00,0.6111111111111112,1.0,18.055555555555557,0.0,507.0,1.8
2022-10-23T11:00:00,0.5,3.416666666666667,17.11111111111111,0.0,624.0,2.2
2022-10-23T12:00:00,0.6111111111111112,2.4166666666666665,21.055555555555557,0.0,681.0,2.5
2022-10-23T13:00:00,0.6111111111111112,2.8055555555555554,23.055555555555557,0.0,673.0,2.4
2022-10-23T14:00:00,1.472222222222222,4.722222222222222,20.27777777777778,0.0,600.0,2.2
2022-10-23T15:00:00,1.8611111111111112,2.7222222222222223,23.055555555555557,0.0,470.0,1.7
2022-10-23T16:00:00,1.8611111111111112,2.5555555555555554,22.055555555555557,0.0,297.0,1.1
2022-10-23T17:00:00,0.7222222222222222,3.7222222222222223,19.555555555555557,0.0,108.0,0.4
2022-10-23T18:00:00,0.6111111111111112,2.611111111111111,14.055555555555554,0.0,4.0,0.0
2022-10-23T19:00:00,0.6111111111111112,2.4722222222222223,12.055555555555557,0.0,0.0,
2022-10-23T20:00:00,0.6666666666666666,4.222222222222222,11.722222222222221,0.0,0.0,
2022-10-23T21:00:00,0.6111111111111112,1.9166666666666667,9.055555555555554,0.0,0.0,
2022-10-23T22:00:00,0.6111111111111112,0.75,9.055555555555554,0.0,0.0,
2022-10-23T23:00:00,0.3055555555555556,3.7222222222222223,10.166666666666664,0.0,0.0,
2022-10-24T00:00:00,1.25,0.75,9.055555555555554,0.0,0.0,
2022-10-24T01:00:00,0.6111111111111112,0.6111111111111112,7.055555555555557,0.0,0.0,
2022-10-24T02:00:00,0.7222222222222222,3.611111111111111,8.61111111111111,0.0,0.0,
2022-10-24T03:00:00,0.6111111111111112,0.5555555555555556,7.055555555555557,0.0,0.0,
2022-10-24T04:00:00,0.6111111111111112,0.8611111111111112,6.0555555555555545,0.0,0.0,
2022-10-24T05:00:00,1.0555555555555556,2.694444444444444,6.611111111111111,0.0,0.0,
2022-10-24T06:00:00,0.6111111111111112,1.0555555555555556,5.055555555555556,0.0,0.0,
2022-10-24T07:00:00,0.6111111111111112,1.0555555555555556,5.055555555555556,0.0,12.0,0.0
2022-10-24T08:00:00,0.3055555555555556,1.972222222222222,10.166666666666664,0.0,148.0,0.5
2022-10-24T09:00:00,0.6111111111111112,1.1944444444444444,15.055555555555555,0.0,337.0,1.2
2022-10-24T10:00:00,0.6111111111111112,1.1111111111111112,19.055555555555557,0.0,502.0,1.8
2022-10-24T11:00:00,0.888888888888889,2.888888888888889,18.22222222222222,0.0,618.0,2.2
2022-10-24T12:00:00,1.25,1.1944444444444444,23.055555555555557,0.0,674.0,2.4
2022-10-24T13:00:00,1.0555555555555556,1.5,19.777777777777775,0.0,666.0,2.4
2022-10-24T14:00:00,1.3055555555555556,1.6666666666666665,19.944444444444446,0.0,593.0,2.1
2022-10-24T15:00:00,1.25,1.5555555555555554,19.833333333333332,0.0,464.0,1.7
2022-10-24T16:00:00,1.3055555555555556,1.25,19.444444444444443,0.0,292.0,1.1
2022-10-24T17:00:00,1.3611111111111112,1.8611111111111112,17.055555555555557,0.0,104.0,0.4
2022-10-24T18:00:00,1.0,1.1944444444444444,15.555555555555555,0.0,3.0,0.0
2022-10-24T19:00:00,1.0,1.0,15.055555555555555,0.0,0.0,
2022-10-24T20:00:00,1.3055555555555556,1.4166666666666665,14.444444444444445,0.0,0.0,
2022-10-24T21:00:00,1.5,1.8611111111111112,13.722222222222223,0.0,0.0,
2022-10-24T22:00:00,1.9166666666666667,2.7222222222222223,13.055555555555555,0.0,0.0,
2022-10-24T23:00:00,0.6111111111111112,3.1111111111111107,9.833333333333336,0.0,0.0,
2022-10-25T00:00:00,0.6111111111111112,3.9722222222222223,9.055555555555554,0.0,0.0,
2022-10-25T01:00:00,0.6111111111111112,3.9722222222222223,8.055555555555555,0.0,0.0,
2022-10-25T02:00:00,1.3333333333333333,4.638888888888888,9.277777777777779,0.0,0.0,
2022-10-25T03:00:00,0.6111111111111112,3.6666666666666665,8.055555555555555,0.0,0.0,
