datetime,windspeed,windgust,temp,cloudcover,solarradiation,solarenergy
2022-11-30T07:00:00,3.1111111111111107,6.02361111111111,-5.905555555555557,100.0,0.0,
2022-11-30T08:00:00,3.4375,5.788888888888889,-5.716666666666666,100.0,46.75,0.2
2022-11-30T09:00:00,3.552777777777778,5.194444444444444,-4.88611111111111,100.0,165.7,0.595
2022-11-30T10:00:00,3.3402777777777777,4.624999999999999,-3.938888888888889,100.0,284.8,1.03
2022-11-30T11:00:00,3.3152777777777773,4.441666666666666,-2.9277777777777776,96.235,413.45,1.4949999999999999
2022-11-30T12:00:00,3.3402777777777777,4.430555555555555,-2.2388888888888894,99.44500000000001,440.5,1.6
2022-11-30T13:00:00,3.4402777777777778,4.418055555555556,-1.619444444444444,100.0,462.85,1.6649999999999998
2022-11-30T14:00:00,3.416666666666667,4.302777777777778,-1.4944444444444431,89.47,341.25,1.2
2022-11-30T15:00:00,3.1319444444444446,3.8583333333333334,-1.4527777777777768,99.81,309.25,1.125
2022-11-30T16:00:00,2.7986111111111107,3.530555555555555,-1.9166666666666663,100.0,146.9,0.515
2022-11-30T17:00:00,2.0194444444444444,3.319444444444444,-2.6611111111111105,100.0,27.9,0.1
2022-11-30T18:00:00,1.5999999999999999,3.0944444444444446,-2.8777777777777778,99.81,0.0,
2022-11-30T19:00:00,1.5583333333333333,2.8208333333333333,-2.833333333333334,100.0,0.0,
2022-11-30T20:00:00,1.4375,2.618055555555556,-2.855555555555554,99.99,0.0,
2022-11-30T21:00:00,1.3791666666666667,2.3916666666666666,-2.930555555555555,100.0,0.0,
2022-11-30T22:00:00,1.1791666666666667,2.0458333333333334,-3.058333333333335,100.0,0.0,
2022-11-30T23:00:00,1.0694444444444444,1.9513888888888888,-3.202777777777776,100.0,0.0,
2022-12-01T00:00:00,1.0486111111111112,1.8986111111111108,-3.3972222222222213,99.69500000000001,0.0,
2022-12-01T01:00:00,0.8472222222222221,1.176388888888889,-3.869444444444445,95.435,0.0,
2022-12-01T02:00:00,0.8166666666666667,1.1861111111111111,-4.116666666666666,53.27,0.0,
2022-12-01T03:00:00,0.9055555555555556,1.0555555555555556,-4.477777777777778,57.515,0.0,
2022-12-01T04:00:00,0.8180555555555555,1.070833333333333,-4.638888888888889,69.825,0.0,
2022-12-01T05:00:00,0.7472222222222223,0.8430555555555556,-4.605555555555555,67.425,0.0,
2022-12-01T06:00:00,0.7375,0.8263888888888888,-4.677777777777777,68.07000000000001,0.0,
2022-12-01T07:00:00,0.6708333333333333,0.6875,-4.7,61.004999999999995,0.0,
2022-12-01T08:00:00,0.7152777777777778,1.0194444444444446,-3.683333333333335,88.035,49.85,0.175
2022-12-01T09:00:00,1.0138888888888888,1.0777777777777777,-2.313888888888888,84.155,193.65,0.6799999999999999
2022-12-01T10:00:00,0.9541666666666666,0.9708333333333333,-0.9722222222222222,85.84,347.6,1.2550000000000001
2022-12-01T11:00:00,0.9138888888888889,0.9888888888888889,0.10555555555555429,91.22,444.0,1.59
2022-12-01T12:00:00,1.3069444444444445,1.4958333333333333,0.8888888888888897,100.0,487.05,1.75
2022-12-01T13:00:00,1.5333333333333332,1.8333333333333333,1.5277777777777777,100.0,478.05,1.72
2022-12-01T14:00:00,1.5722222222222222,1.9888888888888887,1.6805555555555547,100.0,338.95,1.215
2022-12-01T15:00:00,1.651388888888889,2.131944444444444,1.6472222222222201,100.0,255.5,0.93
2022-12-01T16:00:00,1.3069444444444445,1.6777777777777778,0.9194444444444451,98.86,122.3,0.445
2022-12-01T17:00:00,1.2680555555555555,1.3250000000000002,-0.5722222222222229,100.0,23.95,0.1
2022-12-01T18:00:00,1.161111111111111,1.2319444444444445,-1.2083333333333337,100.0,0.0,
2022-12-01T19:00:00,1.1152777777777776,1.1097222222222223,-1.4888888888888887,100.0,0.0,
2022-12-01T20:00:00,1.0555555555555556,1.0347222222222223,-1.6638888888888874,100.0,0.0,
2022-12-01T21:00:00,0.9458333333333333,0.9291666666666667,-1.9416666666666653,99.175,0.0,
2022-12-01T22:00:00,0.8638888888888889,0.8444444444444444,-2.2250000000000014,97.05499999999999,0.0,
2022-12-01T23:00:00,0.7041666666666667,0.6833333333333333,-2.2916666666666665,100.0,0.0,
2022-12-02T00:00:00,0.5722222222222222,0.5666666666666667,-2.4444444444444438,98.35,0.0,
2022-12-02T01:00:00,0.5444444444444445,0.5305555555555556,-2.7277777777777796,100.0,0.0,
2022-12-02T02:00:00,0.5083333333333333,0.49444444444444446,-2.783333333333334,85.705,0.0,
2022-12-02T03:00:00,0.5444444444444445,0.5305555555555556,-3.0333333333333337,69.32000000000001,0.0,
2022-12-02T04:00:00,0.46805555555555556,0.4444444444444445,-3.23888888888889,56.260000000000005,0.0,
2022-12-02T05:00:00,0.4152777777777778,0.4152777777777778,-3.4249999999999994,26.615,0.0,
2022-12-02T06:00:00,0.3958333333333333,0.39861111111111114,-3.572222222222222,39.125,0.0,
2022-12-02T07:00:00,0.4583333333333333,0.44999999999999996,-3.6166666666666654,28.744999999999997,0.0,
2022-12-02T08:00:00,0.575,0.6583333333333333,-2.233333333333333,25.264999999999997,51.7,0.2
2022-12-02T09:00:00,0.9486111111111111,1.152777777777778,-0.39999999999999936,44.015,215.15,0.765
2022-12-02T10:00:00,1.5208333333333333,1.8930555555555557,1.1972222222222229,94.005,371.25,1.34
2022-12-02T11:00:00,2.0013888888888887,2.6,2.247222222222223,83.14,418.3,1.5
2022-12-02T12:00:00,2.2027777777777775,2.7986111111111107,3.0666666666666647,79.175,463.05,1.6649999999999998
